date,USDT,total_market_cap,usdt_dominance
2020-04-10,56437902653.97475,302405479774612.7,0.01866298940615718
2020-04-11,39985484919.55333,216347067525898.97,0.01848210164196779
2020-04-12,45222901441.27339,251774401966118.88,0.017961675646183842
2020-04-13,50144698420.27745,266983552213387.62,0.01878194293414716
2020-04-14,42111841081.30165,235770597024489.06,0.017861362533228675
2020-04-15,40302723006.72965,216683081692227.22,0.018599847617071886
2020-04-16,63385074671.36913,336964899391548.94,0.018810586736429328
2020-04-17,43301906343.26964,233641563786017.44,0.018533477366607615
2020-04-18,45269188818.55046,239314660350628.88,0.01891617870473329
2020-04-19,44756485551.67188,228640259008494.8,0.019575067726812286
2020-04-20,54720419010.73765,263501226634086.28,0.020766665760810946
2020-04-21,42957506582.36916,227121619160418.62,0.018913878274189205
2020-04-22,45513138557.75669,239980583592915.06,0.018965342060740107
2020-04-23,56565791061.67127,327201351462214.4,0.017287762048930157
2020-04-24,45572922685.96941,264767327245266.94,0.017212442018479487
2020-04-25,45016755578.35722,252988178721302.6,0.017794015438147678
2020-04-26,46257968460.6125,257646849722302.2,0.017954020594651333
2020-04-27,50267463212.802605,285646476210866.25,0.017597788665068215
2020-04-28,46257896213.28407,262768991955062.56,0.01760401631452575
2020-04-29,79916237972.06854,535649813027415.7,0.014919493301116539
2020-04-30,90396594974.82968,585749552519621.9,0.015432635771719433
2020-05-01,56674202411.01528,395181892932731.3,0.01434129534387915
2020-05-02,50171701464.778694,364742678360686.5,0.013755369042710417
2020-05-03,59169913732.96223,423471707749566.8,0.013972577777959655
2020-05-04,60683607798.272964,412250519572615.6,0.014720080367923924
2020-05-05,53822472431.217384,392459849419555.75,0.013714134709785037
2020-05-06,60385058737.61092,461835634002489.8,0.013075010737972936
2020-05-07,72764549932.07214,613255073748577.1,0.01186529929337433
2020-05-08,63639275474.38957,514087566337334.94,0.012379073068775727
2020-05-09,58149504009.668236,450827824405367.2,0.012898384008654803
2020-05-10,79628961887.98146,559347567291560.2,0.014236043301941247
2020-05-11,68551671108.4569,495138618575082.4,0.013844945341919799
2020-05-12,49786653141.04519,374112387948633.06,0.013307940272718548
2020-05-13,53076086127.61903,425781097440664.8,0.012465580657914366
2020-05-14,64471244214.20582,553406067490339.8,0.01164989832991508
2020-05-15,53359473880.584435,452542972779981.5,0.011791029159683114
2020-05-16,42267982789.068634,342252976179682.44,0.0123499241002591
2020-05-17,45597589383.64869,390901752621931.7,0.01166471858409632
2020-05-18,50564535725.283585,410628154511107.44,0.012313947587321565
2020-05-19,46768503198.3904,385023264773702.0,0.01214692915397688
2020-05-20,44400516573.59476,350755760332495.44,0.012658528125526928
2020-05-21,47434771075.227844,359865150837402.0,0.01318126274935144
2020-05-22,38058106310.27339,276279561353019.03,0.013775215989156816
2020-05-23,33912779519.934338,257619995141073.66,0.01316387709011623
2020-05-24,38986638558.42461,288291594389370.2,0.013523335163830261
2020-05-25,36100630608.617714,280862528183586.12,0.012853487733693152
2020-05-26,32792657192.275875,263467682772177.56,0.012446557713354138
2020-05-27,35352556952.257935,302853519275765.0,0.011673153753272868
2020-05-28,38160819407.74492,330102024907329.3,0.01156031060956319
2020-05-29,36829886915.817795,313265879495277.0,0.011756750200550668
2020-05-30,40394193063.241516,321116408589031.6,0.012579298965360086
2020-05-31,34940261071.17182,265632867550384.75,0.013153591042171925
2020-06-01,39664033035.99624,361371055320575.94,0.010975985058020176
2020-06-02,45473037918.87437,376292524949188.0,0.012084491427251907
2020-06-03,30557331653.80424,243935368119716.28,0.01252681474168502
2020-06-04,31696392642.464115,256574000256931.72,0.012353704042780458
2020-06-05,29704037821.84976,229511019675030.3,0.012942314431746397
2020-06-06,23532408544.098305,199298501699952.16,0.011807619396721212
2020-06-07,29506899435.067074,246495270801136.78,0.01197057425855125
2020-06-08,23824302475.7473,211971857111521.75,0.01123937054682356
2020-06-09,25592884294.670433,234432295345938.7,0.010916961870336354
2020-06-10,26567256843.395004,255933996240411.28,0.010380511082411687
2020-06-11,39301311083.62191,284864797548055.25,0.013796478688101846
2020-06-12,28838119051.69932,216507675626091.4,0.013319675142373581
2020-06-13,21761651485.883602,168159794120325.66,0.012941055024313476
2020-06-14,21322017536.719902,180038914910769.25,0.011843004912181073
2020-06-15,33190827625.545177,254791826464778.34,0.013026645354392236
2020-06-16,25226046736.70696,207589841328060.38,0.012151869559378626
2020-06-17,24332295551.02024,193113565672185.38,0.012599992893469152
2020-06-18,21307508161.49147,168833123128278.88,0.012620454900488982
2020-06-19,23253546350.635544,183949454676632.25,0.01264126952238773
2020-06-20,20200384594.1716,161325877029044.88,0.012521478244023278
2020-06-21,18615462932.15781,143876386310028.88,0.01293851159984286
2020-06-22,25847323588.048542,205859420978743.0,0.012555812828560093
2020-06-23,21546994772.603363,165410495562332.06,0.013026377013956623
2020-06-24,25374691436.721558,178710945750200.97,0.014198733787794876
2020-06-25,21619295073.915703,174133385640144.94,0.012415364804652121
2020-06-26,22571735598.06088,169738779602177.53,0.013297924994490364
2020-06-27,22158952371.866547,157810638254996.03,0.014041482004566338
2020-06-28,18060766661.436886,134559263296998.84,0.013422165237017693
2020-06-29,20241439747.887432,152845942501993.38,0.013243033747934427
2020-06-30,18924201785.300232,145195582656582.0,0.01303359333600385
2020-07-01,20442764273.593018,148909248522250.9,0.013728337545493918
2020-07-02,22055121741.23041,150518408606779.03,0.014652773667603801
